id,item_name,category,price,item_count
1687195,"NÖ Extraportion 8,5",Nö Extra Portion,8.5,3
361117,131.Camarones cubanos + - -,130. - 140. Hauptspeise Fisch + AF Beilagen,11.494545454545458,11
361866,Kartoffel-Korn,Brötchen & Co,0.9499999999999944,314
1350325,Sweet Chicken + //// + /// + Fritten + Ketchup,Classic Burger + AF Garstufe + AF Extras + Beilagen + Dips,15.068571428571431,7
1505717,Malzkaffee,Kaffee,3.1999999999999997,6
1677477,Spaghetti a&o Gamb,Pasta,15.579034267912764,321
1911424,Cappuccino,"Kaffe, Tee",5.0,7
1932867,Denglerseyler Grauburgunder,Wine,5.5,38
866766,Pizzabrot groß 26,Pizza,4.3,1
1290274,Pancakes 12er + Auf die Hand + MI Weiße Schokolade + MI Vollmilch Schoko + TI Oreo,Choose It + Choose It + Abfrage Melt it + Abfrage Melt it + Abfrage Top It,5.4,2
1091722,"Burger Baukasten + Wolkebrötchen + Rindfleisch + ! Chorizo + ! Cheddar-Käse* + Kein Belag* + Jalapenos* + ! Champignons + Gurke, eingelegt + ! Zucchini* + Salat* + Gurke, frisch + Zwiebeln, Roh* + ! Zwiebeln, Brat + Tomate* + Haussoße 1",Burger Baukasten + AF Brötchen + AF Hauptbelag + AF Beilage ohne preis + AF Beilage ohne preis + AF Beilage 1 2 Stück frei wählbar. sonst je +0.50€ + AF Beilage 2 frei wählbar. keine Anzahlbegrenzung + AF Beilage 2 frei wählbar. keine Anzahlbegrenzung + AF Beilage 2 frei wählbar. keine Anzahlbegrenzung + AF Beilage 2 frei wählbar. keine Anzahlbegrenzung + AF Beilage 2 frei wählbar. keine Anzahlbegrenzung + AF Beilage 2 frei wählbar. keine Anzahlbegrenzung + AF Beilage 2 frei wählbar. keine Anzahlbegrenzung + AF Beilage 2 frei wählbar. keine Anzahlbegrenzung + AF Beilage 2 frei wählbar. keine Anzahlbegrenzung + AF Saucen frei wählbar. keine Anzahlbegrenzung,8.5,1
1023156,"Hefeweizen AF 0,5",Bier_,3.4212000000000002,25
2049611,"Pinot Noir /Cholfirst 2019 / 0,1 l",Rotweine,8.0,10
391338,5er + ToGo ohne Tüte + Lookma Spezial + MI Weiße Schokolade + TI Schokostreussel + TI Pistazien + TI Lotus Kekse + FI Erdbeeren,Abfrage Größe + Abfrage Größe + Abfrage Füllung + Abfrage Soße + Abfrage Topping + Abfrage Topping + Abfrage Topping + Abfrage Früchte,4.9,1
1620453,Classic Burger + Sußkartoffelpommes + Sesam,Burger + Beilagen extra + AF Brötchen,11.7,14
316255,MILCH KAFFEE,WARME GETRÄNKE,2.5,261
871127,Pizza Anchovis,Pizza,10.52051282051282,117
223609,7 Salami 32cm + Spianata Piccante,Pizza 32cm + AF Pizza-Extras 32cm,10.5,1
